Committee num,Barzel,Name,Symbol,Voters,Invalid,Avoda,Yemina,Yahadut Hatora,Meshutefet,Hayisraelim,Tzomet,Tziyonut Detit,Gimlaim,Calcalit,Brit Shutafut,Kvod Haadam,Gush Tanachi,Manhigut Hevratit,Halev Hayehudi,Ani veAta,Kahol Lavan,Yisrael Beytenu,Likud,Meretz,Kamah,Olam Hadash,Anahnu,Raam,Yesh Atid,Pirates,Atzmenu,Maan,Hetz,Daam,Habilti Efshari,Shema,Seder Hadash,Mishpat Tzedek,Rapeh,Hatikva Leshinui,Am Shalem,Democratit,Shas,Tikva Hadasha
17,9975,?????,70,271,2,1,9,0,0,0,0,14,0,1,0,0,0,0,0,0,16,37,126,1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,1,0,26,17
17,9976,?????,70,254,1,5,1,97,0,0,0,6,0,2,0,0,0,0,0,0,3,23,56,1,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,44,2
17,9977,?????,70,357,1,4,15,13,0,0,0,7,0,0,0,0,0,0,0,0,22,74,120,0,0,0,0,0,28,0,0,0,0,0,1,0,0,0,1,0,0,0,58,13
17,9978,?????,70,368,0,5,16,5,0,0,0,32,0,0,0,1,0,0,0,0,14,28,153,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,85,8
17,9979,?????,70,309,3,3,12,3,0,0,0,26,0,0,0,0,0,0,0,1,8,33,122,2,0,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,47,21
17,9980,?????,70,361,3,3,26,3,0,0,0,10,0,0,0,0,0,0,0,0,21,45,151,2,0,1,0,1,33,0,0,0,0,0,0,0,0,0,0,1,0,0,45,16
17,9981,?????,70,341,6,6,19,2,0,0,0,16,0,1,0,0,0,0,0,0,14,39,155,1,0,0,0,0,21,0,0,0,0,0,0,0,0,1,0,1,0,0,44,15
17,9982,?????,70,346,0,7,11,0,0,0,0,20,0,1,0,0,0,0,0,0,16,43,127,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,1,0,64,20
17,9983,?????,70,307,2,11,16,2,0,0,0,21,0,1,0,0,0,0,0,0,3,51,120,3,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,40,18
17,9984,?????,70,376,1,3,27,3,0,0,0,23,0,2,0,0,0,0,0,0,15,27,162,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1,0,0,0,0,58,14
17,9985,?????,70,342,3,7,27,5,0,0,0,17,0,6,0,0,0,0,0,0,13,33,140,1,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,1,0,0,45,18
17,9986,?????,70,360,2,3,17,11,0,0,0,18,0,5,0,0,0,0,0,0,11,58,124,1,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,58,16
17,9987,?????,70,350,2,4,24,5,0,0,0,10,0,2,0,0,0,0,0,1,18,45,140,1,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,37,21
17,9988,?????,70,353,3,2,19,6,0,0,0,15,0,0,0,0,0,0,0,1,11,48,121,5,0,0,0,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,39,27
17,9989,?????,70,335,3,8,11,6,0,0,0,10,0,0,0,0,0,0,0,0,10,63,145,1,0,1,0,0,39,0,0,0,0,0,0,0,0,0,1,0,0,0,17,20
17,9990,?????,70,304,3,5,25,2,0,0,0,14,0,2,0,0,0,0,0,0,11,21,138,4,0,0,0,0,20,0,0,0,0,0,0,0,0,0,1,0,0,0,48,10
17,9991,?????,70,283,3,5,19,2,0,0,0,15,0,3,0,0,0,0,0,0,11,35,125,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,40,10
17,9992,?????,70,295,1,5,17,2,0,0,0,10,0,0,0,0,0,0,0,0,5,45,132,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,26,15
17,9993,?????,70,298,0,1,11,8,0,0,0,11,0,3,0,0,0,0,0,0,7,44,143,1,0,0,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,32,13
17,9994,?????,70,267,3,5,10,2,0,0,0,7,0,2,0,0,0,0,0,0,10,53,95,3,0,0,0,0,43,0,0,0,0,0,0,0,0,1,1,0,0,0,21,11
17,9995,?????,70,298,1,1,8,62,0,0,0,9,0,3,0,0,0,0,1,0,5,74,55,2,0,0,0,0,16,0,0,0,0,0,0,0,0,0,1,0,0,0,49,11
17,9996,?????,70,282,1,1,6,93,0,0,0,4,1,0,0,0,0,0,0,0,2,9,53,2,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,0,0,97,5
17,9997,?????,70,208,6,3,10,1,0,0,0,5,0,0,0,0,0,0,0,0,9,36,87,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,39,3
17,9998,?????,70,333,2,0,2,79,0,0,0,14,0,2,0,0,0,0,0,0,2,7,17,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,195,8
17,9999,?????,70,375,1,0,10,106,0,0,0,12,0,0,0,0,0,0,0,1,6,23,55,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,152,4
17,10000,?????,70,370,1,5,22,3,0,0,0,5,0,6,0,0,0,0,0,0,21,26,170,3,0,0,0,0,44,0,0,0,0,0,0,0,0,0,3,0,0,0,50,11
17,10001,?????,70,339,0,4,14,2,2,0,0,11,0,2,0,0,0,0,0,0,14,56,143,3,0,0,0,0,46,0,0,0,0,0,0,0,0,0,3,0,0,0,25,14
17,10002,?????,70,251,2,1,9,36,0,0,0,13,0,1,0,0,0,0,0,0,16,29,86,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,1,0,0,0,42,3
17,10003,?????,70,231,1,5,5,3,1,0,0,11,0,4,0,0,0,0,0,1,21,34,81,0,0,0,1,1,12,0,0,0,0,0,0,0,0,0,1,0,0,0,39,10
17,10004,?????,70,256,4,3,7,120,0,0,0,7,0,0,0,0,0,0,0,0,5,7,47,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,52,1
17,10005,?????,70,325,1,2,10,43,0,0,0,7,0,0,0,0,0,0,0,1,22,20,118,3,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0,0,0,0,81,7
17,10006,?????,70,255,3,0,11,1,0,0,0,5,0,0,0,0,0,0,0,0,2,53,112,1,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,30,9
17,10007,?????,70,374,7,6,24,0,0,0,0,7,2,4,0,0,0,0,0,0,22,53,130,3,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,39,24
17,10008,?????,70,326,3,0,12,2,0,0,0,15,2,3,0,0,0,0,0,0,14,22,152,5,0,0,0,1,37,0,0,0,0,0,0,0,0,0,1,0,0,0,38,19
17,10009,?????,70,316,2,1,13,3,0,0,0,8,0,6,0,0,0,0,0,0,8,37,136,2,0,0,0,0,35,0,0,0,0,0,0,0,0,0,1,0,0,0,54,10
17,10010,?????,70,339,3,7,21,4,0,0,0,16,0,2,0,0,0,0,0,0,10,63,122,3,0,0,0,0,35,0,0,0,0,0,2,0,0,0,3,0,0,0,33,15
17,10011,?????,70,242,2,4,15,1,0,0,0,6,0,0,0,0,0,0,0,0,13,48,96,1,0,0,0,0,20,1,0,0,0,0,0,0,0,0,2,0,0,0,22,11
17,10012,?????,70,357,0,7,22,2,0,0,0,16,0,4,0,0,0,0,0,0,27,8,176,5,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,41,16
17,10013,?????,70,345,2,8,21,1,0,0,0,10,0,3,0,0,0,0,0,0,24,30,118,9,0,0,1,0,47,0,0,0,0,0,0,0,0,0,2,0,0,0,41,28
17,10014,?????,70,361,0,15,22,2,0,0,0,18,0,6,0,0,0,0,0,0,32,19,117,3,0,0,0,0,69,0,0,0,0,0,0,0,0,0,3,0,0,0,33,22
17,10015,?????,70,360,0,12,25,1,0,0,0,6,0,4,0,0,0,0,0,0,27,20,139,7,0,0,0,0,56,0,0,0,0,0,0,0,0,0,1,0,0,0,31,31
17,10016,?????,70,339,1,11,30,4,0,0,0,19,0,4,0,0,0,0,0,0,29,26,89,7,0,0,0,0,76,0,0,0,0,0,0,0,0,0,3,0,0,0,15,25
17,10017,?????,70,342,1,16,25,4,1,0,1,26,0,4,0,0,0,0,0,0,18,27,127,3,0,0,0,0,33,0,0,0,0,0,0,0,0,0,4,0,0,0,22,30
17,10018,?????,70,376,3,10,31,4,0,0,0,13,0,4,0,0,0,0,0,0,18,10,176,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,2,0,0,0,46,19
17,10019,?????,70,381,2,8,31,0,0,0,0,13,0,5,0,0,0,0,0,0,18,23,146,3,0,0,0,0,57,0,0,0,0,0,0,0,0,0,1,0,0,0,51,23
17,10020,?????,70,312,1,7,15,1,0,0,0,9,0,5,0,0,0,0,0,0,13,23,135,6,0,0,0,0,52,0,0,0,0,0,0,0,0,0,1,1,0,0,26,17
17,10021,?????,70,379,1,7,19,3,0,0,0,10,0,1,0,0,0,0,0,0,31,23,187,1,1,0,0,0,42,0,0,0,0,0,1,0,0,0,0,0,0,0,40,12
17,10022,?????,70,359,0,5,19,1,0,0,0,16,0,7,0,0,0,0,0,1,25,32,156,2,0,1,0,0,41,0,0,0,0,0,0,0,0,0,2,0,0,0,33,18
17,10023,?????,70,377,4,10,24,13,0,0,0,11,0,3,0,0,0,0,0,0,25,33,128,4,0,0,0,0,49,0,0,0,0,0,0,0,1,0,1,0,0,0,46,25
17,10024,?????,70,370,3,17,21,3,0,0,0,15,0,4,0,0,0,0,0,0,23,30,127,7,0,0,0,0,61,0,0,0,0,0,0,0,0,0,4,0,0,0,30,25
17,10025,?????,70,334,3,8,15,4,0,0,1,17,0,3,0,0,0,0,0,0,17,33,131,2,0,0,0,0,37,0,0,0,0,0,0,0,0,0,1,0,0,0,45,17
17,10026,?????,70,261,1,1,6,37,0,0,0,10,0,0,0,0,0,0,0,0,6,30,84,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,69,7
17,10027,?????,70,290,3,3,6,64,0,0,0,12,0,1,0,0,0,0,0,0,8,24,102,0,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,50,5
17,10028,?????,70,246,1,1,8,12,0,0,0,9,1,0,0,0,0,0,0,0,5,57,76,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,3,0,0,0,50,5
17,10029,?????,70,395,3,4,10,3,0,0,0,2,0,1,0,0,0,0,0,0,8,126,100,1,0,0,0,1,56,0,0,0,0,0,0,0,0,0,3,0,0,0,56,21
17,10030,?????,70,418,2,5,17,2,0,0,0,11,0,3,0,0,0,0,0,0,13,130,103,4,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,47,22
17,10031,?????,70,413,5,5,20,3,0,0,0,5,0,3,0,0,0,0,0,0,5,154,94,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,1,0,0,0,36,25
17,10032,?????,70,301,3,9,17,1,0,1,0,6,0,2,0,0,0,0,0,1,28,40,115,6,0,0,0,0,39,0,0,0,0,0,0,0,0,1,3,0,0,0,12,17
17,10033,?????,70,367,2,3,16,1,0,0,0,13,0,0,0,0,0,0,0,0,25,23,159,1,1,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,44,21
17,10034,?????,70,383,0,7,22,3,0,0,0,12,0,6,0,0,0,0,0,0,27,32,150,8,0,0,0,0,51,0,1,0,0,0,0,0,0,0,1,0,0,0,42,21
17,10035,?????,70,377,1,7,32,2,1,0,0,12,0,0,0,0,0,0,0,0,21,33,166,2,0,0,0,0,43,0,0,0,0,0,0,0,0,0,1,0,0,0,31,25
17,10036,?????,70,379,0,10,31,1,0,0,0,10,0,10,0,0,0,0,0,0,14,37,143,9,0,0,0,0,49,0,0,0,0,0,0,0,0,0,3,0,0,0,36,26
17,10037,?????,70,345,3,4,24,2,0,0,0,4,0,3,0,0,0,0,0,0,13,41,146,0,0,0,0,0,55,0,1,0,0,0,0,0,0,0,2,0,0,0,23,24
17,10038,?????,70,345,1,14,19,4,0,0,0,9,0,1,0,0,0,0,0,1,29,27,128,2,0,0,0,0,44,0,0,0,0,0,0,0,0,0,5,0,0,0,39,22
17,10039,?????,70,342,2,7,25,1,0,1,0,12,0,4,0,0,0,0,0,0,24,35,140,4,0,0,0,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,31,13
17,10040,?????,70,331,0,11,32,0,0,0,0,8,0,2,0,0,0,0,0,0,30,29,126,2,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,27,18
17,10041,?????,70,311,1,13,18,0,0,0,0,10,0,0,0,0,0,0,0,0,24,39,93,2,0,0,0,0,65,0,0,0,0,0,0,0,0,0,2,0,0,0,23,21
17,10042,?????,70,344,1,9,22,5,0,0,0,12,1,3,0,0,0,0,0,0,13,37,127,1,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,30,38
17,10043,?????,70,354,0,10,13,5,0,0,0,7,1,4,0,0,0,0,0,0,14,52,136,5,0,0,0,0,50,0,0,0,0,0,0,0,0,0,2,0,0,0,33,22
17,10044,?????,70,370,0,10,31,2,0,0,0,9,0,1,0,0,0,0,0,0,21,42,140,8,0,0,0,0,51,0,0,0,0,0,0,0,0,0,1,0,0,0,28,26
17,10045,?????,70,352,1,7,20,0,0,0,0,5,0,5,0,0,1,0,0,0,29,65,106,7,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,12,23
17,10046,?????,70,348,1,7,17,1,0,0,0,9,0,8,0,0,0,0,0,0,22,13,164,8,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,44,21
17,10047,?????,70,377,3,7,23,12,0,0,0,9,0,7,0,0,0,0,0,0,17,28,173,3,0,0,0,1,48,0,0,0,0,0,0,0,0,1,0,0,0,0,27,18
17,10048,?????,70,373,1,14,21,5,0,0,0,10,0,4,0,0,0,0,0,1,27,31,166,2,0,0,0,0,48,0,0,0,0,0,0,0,0,0,2,0,0,0,22,19
17,10049,?????,70,350,1,7,16,0,0,1,0,6,0,3,1,0,0,0,0,0,27,35,147,4,0,0,0,0,50,0,0,0,0,0,0,0,0,0,2,0,0,0,27,23
17,10050,?????,70,351,2,10,14,2,0,0,0,5,0,4,0,0,0,0,0,1,30,41,145,8,0,0,0,0,50,0,0,0,0,0,0,0,0,0,1,0,0,0,18,20
17,10051,?????,70,311,1,2,18,4,0,0,0,4,0,2,0,0,0,0,0,0,7,114,70,2,0,0,0,0,67,0,0,0,0,0,0,0,0,0,1,0,0,0,8,11
17,10052,?????,70,338,5,3,7,6,0,0,0,2,0,2,0,0,0,0,0,0,3,159,60,2,0,0,0,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
17,10053,?????,70,350,2,5,23,1,0,0,0,25,0,4,0,0,0,0,0,0,14,33,133,5,0,1,0,0,19,0,0,0,0,0,0,0,0,0,7,0,0,0,61,17
17,10054,?????,70,429,1,4,14,18,0,1,0,26,0,2,0,0,0,0,0,0,11,33,126,1,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,143,13
