Committee num,Barzel,Name,Symbol,Voters,Invalid,Avoda,1,Habait Hayehudi,Yahadut Hatora,Balad,Hadash Taal,2,3,4,5,Tziyonut Detit,6,7,8,9,10,Hamahane Hamamlahti,ך,Yisrael Beytenu,Likud,Meretz,11,12,13,14,15,16,Raam,Yesh Atid,17,18,19,20,21,22,23,24,25,Shas,26
2,812,?,472,306,8,3,1,1,2,107,30,0,0,0,0,2,0,0,0,0,0,3,0,1,30,8,0,0,0,0,0,0,105,2,0,0,1,0,0,0,0,2,0,0,0
2,813,?,472,317,3,2,0,0,0,157,41,0,0,0,0,3,0,0,0,0,0,0,1,1,30,9,0,0,0,0,0,0,65,3,0,0,0,0,0,0,1,0,0,1,0
2,814,?,472,275,3,1,0,0,1,134,24,0,0,0,0,3,0,0,0,0,0,1,0,0,18,10,0,0,0,0,0,0,78,2,0,0,0,0,0,0,0,0,0,0,0
6,2613,?,473,263,3,2,0,0,0,54,114,0,0,1,0,0,0,0,0,0,0,6,0,1,12,2,0,0,0,0,0,0,65,0,0,0,1,0,1,0,0,0,0,1,0
6,2614,?,473,203,6,0,0,1,0,27,86,0,0,0,0,0,1,0,0,0,0,8,0,11,3,2,0,0,0,0,0,0,51,4,0,0,0,0,0,0,0,2,0,1,0
6,2615,?,473,285,1,3,0,1,0,42,151,0,0,0,0,0,0,0,0,1,0,39,0,15,14,6,0,0,0,0,0,0,3,8,0,1,0,0,0,0,0,0,0,0,0
6,2616,?,473,265,6,3,0,0,0,46,111,0,0,0,0,0,0,0,3,0,0,4,0,5,3,4,0,0,0,1,0,0,71,8,0,0,0,0,0,0,0,0,0,0,0
6,2617,?,473,280,6,1,0,0,0,43,117,0,0,0,0,0,0,0,0,0,0,17,0,12,21,2,0,0,0,1,0,0,57,1,0,0,0,0,1,0,0,1,0,0,0
6,2618,?,473,327,5,2,0,0,0,23,206,0,0,0,0,0,0,0,0,0,0,7,0,12,22,2,0,0,0,0,0,0,43,4,0,0,0,0,0,0,0,1,0,0,0
6,2619,?,473,283,2,1,0,0,0,13,119,0,0,0,0,2,1,0,0,0,0,39,0,22,32,2,0,0,0,0,0,0,40,5,0,0,1,0,0,0,2,1,0,1,0
6,2620,?,473,310,4,0,0,0,0,35,132,0,0,0,0,0,0,0,0,0,0,7,0,1,2,3,0,0,0,0,0,0,124,0,0,0,0,1,0,0,1,0,0,0,0
6,2621,?,473,275,4,2,0,0,0,61,96,0,0,0,0,0,1,0,0,0,0,17,0,13,9,10,0,0,0,0,1,0,51,10,0,0,0,0,0,0,0,0,0,0,0
6,2622,?,473,277,6,0,0,0,0,30,88,1,0,0,0,0,0,0,0,0,0,39,0,22,31,8,0,0,0,0,1,0,40,11,0,0,0,0,0,0,0,0,0,0,0
6,2623,?,473,261,3,1,0,0,0,23,70,2,0,0,0,0,0,0,0,0,0,13,0,18,24,2,0,0,0,0,0,0,94,11,0,0,0,0,0,0,0,0,0,0,0
6,2624,?,473,276,2,1,0,0,0,65,122,0,0,0,0,0,0,0,0,0,0,1,0,3,2,2,0,0,0,0,0,0,73,1,0,0,1,0,1,0,0,0,0,1,1
6,2625,?,473,271,8,0,0,0,0,46,70,0,0,0,0,0,0,0,0,0,0,17,0,13,24,5,0,0,0,0,0,0,80,8,0,0,0,0,0,0,0,0,0,0,0
6,2626,?,473,228,4,5,0,1,0,12,56,0,0,0,0,1,0,0,0,0,1,29,0,37,35,7,1,0,0,0,0,0,26,11,0,0,0,0,0,0,0,1,0,1,0
6,2627,?,473,359,3,3,0,0,0,31,198,0,0,0,0,0,1,0,1,0,0,21,1,19,26,1,0,0,0,0,0,0,50,3,0,0,0,0,0,0,0,0,0,1,0
6,2628,?,473,318,5,0,0,0,0,36,81,0,0,0,0,1,0,0,0,0,0,31,1,18,17,2,0,0,0,0,1,0,114,7,0,0,0,0,0,1,0,2,0,1,0
6,2629,?,473,311,1,3,0,0,0,19,71,1,1,1,0,1,0,0,0,0,0,37,0,36,52,7,0,0,0,2,0,0,57,17,0,0,1,0,0,0,0,0,0,4,0
6,2630,?,473,344,4,6,0,0,0,26,32,0,0,0,0,1,0,0,0,0,0,39,0,72,61,4,0,0,0,1,0,0,68,30,0,0,0,0,0,0,0,0,0,0,0
6,2631,?,473,322,3,1,0,0,0,45,110,0,0,0,0,0,0,0,0,0,0,30,0,25,15,11,0,0,0,0,0,0,53,24,0,0,0,0,0,0,3,1,0,1,0
18,10496,?,958,41,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0
18,10597,?,968,204,3,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,177,3,0,0,0,0,0,1,0,0,0,1,0
18,10598,?,968,203,1,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,190,1,0,0,0,0,0,0,0,0,0,0,0
18,10599,?,968,275,1,0,0,1,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,246,0,0,0,1,0,0,0,1,0,0,2,0
18,10600,?,968,320,1,1,0,0,0,1,25,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,288,0,0,0,0,0,0,1,0,0,0,0,0
18,10601,?,968,213,0,1,0,0,0,2,5,0,0,0,1,0,0,0,0,1,0,0,0,0,6,1,0,0,0,0,0,0,195,0,1,0,0,0,0,0,0,0,0,0,0
18,10602,?,1342,187,4,1,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,165,7,0,1,0,0,0,0,0,0,0,0,0
18,10603,?,1342,164,1,1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,5,0,0,0,0,0,0,1,0,0,0,0
18,10565,?,966,205,9,4,0,0,1,2,9,0,0,0,0,0,0,1,0,0,0,1,0,2,7,2,0,0,0,0,0,1,161,3,0,0,0,0,2,0,0,0,0,0,0
18,10566,?,966,207,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,0,2,1,0,7,2,0,0,0,0,0,0,154,2,0,0,0,0,0,0,0,0,0,0,0
18,10567,?,966,204,1,0,0,0,0,3,6,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,185,2,0,0,0,0,0,1,0,0,0,0,0
18,10568,?,966,186,1,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,169,1,0,0,0,0,0,0,0,0,0,1,0
18,10569,?,966,183,3,1,0,0,0,10,9,0,0,0,0,1,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,145,1,1,1,1,1,0,0,1,0,1,2,0
18,10570,?,966,187,5,3,0,0,0,4,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,156,0,0,1,0,0,0,0,1,0,0,2,0
18,10571,?,966,173,1,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,158,0,0,0,0,0,2,0,0,0,1,0,0
18,10572,?,966,151,3,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,4,1,0,0,0,1,0,0,129,0,0,0,1,0,0,0,0,0,0,1,0
18,10515,?,961,222,0,0,0,0,0,10,69,0,0,0,0,11,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,1,0,0,0,0,0,0,0
18,10516,?,961,199,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,189,0,0,0,0,0,0,0,2,1,1,0,0
18,10517,?,961,273,3,0,0,0,0,1,6,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,255,0,0,0,0,0,0,0,0,2,0,0,0
18,10518,?,961,403,3,0,0,0,0,8,156,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,227,3,0,1,0,0,1,0,0,0,0,1,0
18,10519,?,961,302,0,0,0,0,0,9,68,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,221,1,0,1,0,0,0,0,0,0,0,0,0
18,10520,?,961,237,1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,197,0,0,0,0,0,0,0,0,0,0,1,0
18,10521,?,961,239,3,0,0,0,0,4,22,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,204,1,0,1,0,0,1,0,0,0,0,0,0
18,10522,?,961,230,2,0,0,0,0,3,33,0,0,0,0,2,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,185,0,0,0,0,0,0,0,0,0,0,1,0
18,10604,?,1375,319,4,0,0,0,0,5,53,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0
18,10605,?,1375,334,2,0,0,0,0,1,83,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0
8,3351,?,652,255,5,1,0,0,0,11,70,0,0,0,0,1,0,0,0,0,0,2,0,18,4,1,0,0,0,0,0,0,137,2,0,0,0,0,0,0,0,1,0,2,0
8,3352,?,652,237,3,0,0,0,0,25,77,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0
8,3353,?,652,190,0,0,0,0,0,22,21,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,138,4,0,0,0,0,0,0,0,0,0,1,0
8,3354,?,652,193,0,0,0,0,0,16,27,0,0,0,0,1,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,134,6,0,0,0,0,0,1,0,0,0,0,0
20,11348,?,1275,244,0,32,2,5,0,0,5,0,0,0,0,5,0,4,0,0,0,25,0,5,24,24,0,0,0,0,0,0,1,105,0,0,0,0,0,0,0,7,0,0,0
9,4134,?,679,405,3,36,0,2,2,1,3,0,0,0,0,17,0,0,0,0,0,77,0,3,71,46,0,0,0,0,0,0,0,127,0,0,0,0,0,0,0,15,0,2,0
3,1231,?,1115,271,1,0,0,2,5,0,0,0,0,0,0,42,0,0,0,0,0,1,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0
17,9599,?,819,486,3,38,1,3,1,0,0,0,0,0,0,31,0,0,0,0,0,100,0,1,52,26,0,1,0,0,0,0,1,218,0,1,0,0,0,0,0,0,0,9,0
10,4275,?,175,276,1,27,0,1,0,1,1,0,0,0,0,18,0,1,0,0,0,48,0,7,34,31,0,0,0,0,0,0,1,100,0,0,0,1,0,0,0,4,0,0,0
10,4276,?,175,422,3,41,2,0,0,0,2,0,0,0,0,10,0,2,1,0,0,68,0,10,64,37,0,0,0,0,0,0,0,170,0,0,0,0,0,0,0,10,0,2,0
5,1730,?,2052,328,1,2,0,7,6,0,0,0,0,0,0,86,0,1,0,0,0,33,0,2,154,1,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,28,0
2,882,?,1070,497,1,37,4,2,1,1,7,0,0,0,0,65,1,2,0,0,0,60,0,13,174,21,0,0,0,0,1,0,0,89,0,0,0,0,0,0,0,2,0,16,0
6,2759,?,1220,152,2,29,1,0,0,0,3,0,0,0,0,3,0,1,0,0,0,12,0,4,6,38,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,9,0,0,0
10,4697,?,182,422,0,13,0,5,5,0,0,0,0,0,0,34,0,2,0,0,0,63,0,3,134,21,0,0,0,0,0,0,0,126,0,0,0,0,0,0,0,1,0,15,0
10,4698,?,182,438,0,16,1,5,4,0,0,0,0,0,0,55,0,1,0,0,0,52,0,6,167,15,0,0,0,0,0,0,0,97,0,1,0,0,0,0,0,2,0,16,0
10,4699,?,182,423,1,14,3,6,5,0,0,0,0,0,0,68,0,2,0,0,0,56,0,12,149,9,0,0,0,0,0,0,0,77,0,2,0,0,0,0,0,0,0,19,0
10,4700,?,182,416,0,20,1,2,2,0,0,0,0,0,0,29,0,2,0,0,0,61,0,7,118,12,0,0,0,0,1,0,0,128,0,1,0,1,0,0,0,4,1,26,0
10,4701,?,182,553,0,37,2,8,0,0,3,0,0,0,0,13,0,0,0,0,0,97,0,23,74,32,0,1,0,0,0,0,1,257,0,0,0,2,0,0,0,0,0,3,0
10,4702,?,182,440,0,24,0,6,2,0,1,0,0,0,0,45,0,1,0,0,0,65,0,1,104,24,0,0,0,0,0,0,1,151,0,2,0,0,0,2,0,2,0,9,0
10,4703,?,182,531,0,36,0,0,1,0,2,0,0,0,0,23,0,2,0,0,0,87,0,9,82,27,0,0,0,0,0,0,1,255,0,1,0,0,0,0,0,3,0,2,0
10,4704,?,182,468,4,41,3,0,0,0,0,0,0,0,0,16,0,2,0,0,0,80,0,5,76,22,0,0,0,0,0,0,0,211,0,1,0,0,0,0,0,4,0,3,0
10,4705,?,182,450,1,50,1,3,0,0,1,0,0,0,0,9,0,1,0,0,0,66,0,8,66,30,0,0,0,0,0,0,0,209,0,1,0,0,0,0,0,1,0,3,0
10,4706,?,182,449,0,30,1,0,1,0,1,0,0,0,0,14,3,4,0,0,0,79,0,10,59,19,0,0,0,0,0,0,1,220,0,1,0,0,0,0,0,4,0,2,0
10,4707,?,182,449,0,33,1,2,3,0,0,0,0,0,0,21,0,1,0,0,0,73,0,5,55,31,0,1,0,0,0,0,1,220,0,0,0,0,0,0,0,1,0,1,0
10,4708,?,182,463,6,42,0,1,1,2,0,0,0,0,0,19,0,0,0,0,0,82,0,8,73,29,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,3,0,5,0
10,4709,?,182,466,1,40,0,2,0,0,0,0,0,0,0,11,2,2,0,0,0,83,0,13,48,31,0,0,0,0,0,0,0,229,0,0,0,0,0,0,0,1,0,3,0
10,4710,?,182,462,4,29,0,5,1,0,1,0,0,0,0,30,0,1,0,0,0,61,0,7,105,19,0,0,0,0,0,0,0,183,0,2,0,1,0,0,0,6,0,7,0
10,4711,?,182,379,2,33,0,3,0,0,3,0,0,0,0,9,0,1,0,0,0,45,0,4,75,22,0,0,0,0,0,0,2,174,0,1,1,0,0,0,1,1,0,2,0
10,4712,?,182,503,0,42,0,8,1,0,2,0,0,0,0,10,0,0,0,0,0,63,0,10,80,48,0,0,0,0,0,0,1,228,0,0,0,0,0,0,0,2,0,8,0
10,4713,?,182,400,0,40,1,3,0,0,0,0,0,0,0,10,0,1,0,0,0,65,0,11,44,19,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,2,0,2,0
6,2469,?,1081,194,0,5,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,23,0,1,89,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,1,0,0,33,0
2,782,?,783,369,1,12,1,4,3,0,0,0,0,0,0,42,0,1,0,0,0,48,0,2,181,10,0,0,0,0,1,0,0,41,0,0,0,0,0,0,0,3,0,18,1
17,9474,?,400,428,0,2,0,22,9,0,0,0,0,0,0,241,0,0,0,0,0,11,0,0,109,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,32,0
17,9475,?,400,477,1,2,0,22,5,0,0,0,0,0,0,241,0,0,0,0,0,8,0,0,139,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,54,0
4,1547,?,4011,325,1,0,2,28,1,0,0,0,0,0,0,206,0,1,0,0,0,17,0,3,47,2,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,2,0,6,0
10,4818,?,3793,528,3,0,0,11,2,0,0,0,0,0,0,369,0,2,0,0,0,4,0,0,81,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,53,0
10,4819,?,3793,521,2,0,0,12,8,0,0,0,0,0,0,356,0,0,0,0,0,3,0,0,91,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,45,0
18,10286,?,1311,199,3,3,0,0,2,1,0,0,0,0,0,33,0,1,0,1,0,19,0,49,47,10,0,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,1,0
2,1143,?,3759,208,1,1,0,11,1,0,0,0,0,0,0,109,0,0,0,0,0,18,0,4,43,1,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,3,0
5,1731,?,113,177,1,1,1,0,0,0,0,0,0,0,0,30,0,0,0,0,0,5,0,0,68,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,68,0
6,2470,?,1068,205,0,26,2,2,0,2,4,0,0,0,0,11,0,0,0,0,0,20,0,10,37,35,0,0,0,0,0,0,4,49,0,1,0,0,0,0,0,1,0,0,1
2,883,?,1123,443,0,10,1,18,2,0,0,0,0,0,0,95,0,0,0,0,0,35,0,2,202,3,0,0,0,0,1,0,0,24,1,0,0,0,0,0,0,0,0,49,0
10,4714,?,446,294,2,33,0,1,0,0,0,0,0,0,0,10,0,3,0,0,0,41,0,10,33,25,0,0,0,0,0,0,0,131,0,1,0,0,0,0,0,1,0,3,0
10,4715,?,446,323,1,34,0,3,1,0,3,0,0,0,0,9,0,2,0,0,0,51,0,4,36,31,0,2,0,0,0,0,0,140,0,0,0,0,0,0,0,3,0,3,0
3,1411,?,4010,99,1,10,1,3,0,0,0,2,0,0,0,7,1,0,0,0,0,19,0,1,17,2,0,0,0,0,0,0,0,30,0,0,1,0,0,0,0,4,0,0,0
18,10287,?,1046,200,0,15,0,0,0,0,0,0,0,0,0,23,0,1,0,0,0,35,0,4,78,3,0,0,0,0,0,0,3,30,0,2,0,0,0,0,0,0,0,6,0
9,4053,?,2710,134,2,0,0,0,0,69,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
9,4054,?,2710,119,0,1,0,0,0,55,42,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0
9,4055,?,2710,397,3,3,0,0,0,116,120,0,0,0,0,1,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,144,0,0,0,1,0,0,0,0,0,0,0,0
9,4056,?,2710,274,2,3,0,0,0,91,127,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,42,0,1,0,2,0,0,0,0,0,0,1,0
9,4057,?,2710,176,2,0,0,0,2,67,68,0,0,0,0,1,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
9,4058,?,2710,222,3,5,0,0,0,84,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,24,0,1,0,0,0,0,0,0,0,0,0,0
9,4059,?,2710,261,0,0,0,0,0,102,106,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0
9,4060,?,2710,274,2,1,0,0,0,109,106,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,0,0,0,0,0,1,46,1,0,0,1,0,0,1,0,0,0,0,1
9,4061,?,2710,253,8,1,0,0,0,89,100,0,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,1,0
9,4062,?,2710,268,7,2,0,0,0,108,110,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,1,1,0,31,0,0,0,1,0,0,0,0,0,0,0,1
9,4063,?,2710,232,0,0,0,0,1,90,100,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,2,0
9,4064,?,2710,184,1,1,0,0,0,58,90,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,26,0,0,0,1,0,0,1,0,1,0,0,0
9,4065,?,2710,150,3,0,0,0,0,48,75,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0
9,4066,?,2710,173,2,0,0,0,0,63,79,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0
9,4067,?,2710,249,6,0,0,0,0,76,119,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,44,1,0,0,0,0,0,0,0,0,0,0,0
9,4068,?,2710,272,6,0,0,0,0,94,125,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,0,1,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,2,0
9,4069,?,2710,281,6,0,0,0,1,91,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,40,0,0,0,1,0,0,0,0,1,0,0,0
9,4070,?,2710,282,7,0,0,0,2,114,97,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,50,0,0,0,2,1,1,0,0,0,1,3,0
9,4071,?,2710,285,2,2,1,0,0,117,106,0,0,0,0,1,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,1,46,1,0,0,1,0,0,0,0,1,0,1,0
9,4072,?,2710,258,3,0,0,0,0,112,87,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,5,0
9,4073,?,2710,186,3,0,0,1,1,68,77,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0
9,4074,?,2710,191,6,1,0,1,0,62,67,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,46,1,0,0,2,0,0,0,0,0,0,1,0
9,4075,?,2710,160,0,1,0,0,0,48,76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,30,0,0,1,1,0,0,0,0,0,0,0,0
9,4076,?,2710,186,1,0,0,0,0,50,100,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,1,0
9,4077,?,2710,276,2,0,0,0,0,89,138,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,41,0,0,0,0,0,0,0,0,0,0,1,0
9,4078,?,2710,237,2,2,0,0,0,115,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,39,0,2,0,0,0,0,0,0,0,0,0,1
9,4079,?,2710,231,2,1,0,0,0,99,75,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,46,1,0,0,0,0,0,0,0,0,1,0,1
9,4080,?,2710,286,3,0,0,0,0,107,127,0,0,1,0,0,0,0,0,0,0,0,0,0,3,5,0,1,0,0,0,0,37,0,0,0,0,0,1,0,0,0,0,0,1
9,4081,?,2710,295,0,2,1,0,1,79,162,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,1,0,0,0,0,0
9,4082,?,2710,227,5,1,0,0,0,108,80,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,24,0,0,0,2,0,0,0,0,0,0,1,0
9,4083,?,2710,267,11,0,1,0,0,106,88,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,52,2,1,0,1,0,0,0,0,0,0,0,0
9,4084,?,2710,188,2,0,1,0,0,73,71,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,1,0,0
9,4085,?,2710,200,4,1,0,0,0,63,66,0,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,58,1,0,0,0,0,0,0,0,0,0,2,0
9,4086,?,2710,279,7,0,0,0,0,88,148,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,32,1,0,1,0,0,0,0,0,0,0,1,0
9,4087,?,2710,203,5,0,0,0,0,107,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,33,2,0,0,0,1,0,0,0,0,0,2,0
9,4088,?,2710,213,5,1,1,0,0,103,52,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
9,4089,?,2710,207,5,0,0,1,0,71,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,1,0,45,0,0,0,2,0,0,0,0,0,0,0,0
9,4090,?,2710,261,4,0,1,0,0,128,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0
9,4091,?,2710,272,6,1,0,0,2,120,93,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,1,0,39,0,0,0,1,0,0,0,0,0,0,3,1
9,4092,?,2710,295,2,0,0,0,3,98,104,1,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0,0,0,79,1,0,0,0,0,0,0,0,0,0,0,0
9,4093,?,2710,317,4,0,0,0,0,88,105,0,0,0,0,1,0,0,0,0,1,1,0,0,1,2,0,0,0,1,0,0,110,0,0,1,1,0,0,0,0,0,0,1,0
9,4094,?,2710,294,1,2,0,0,0,117,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,53,1,0,0,0,0,0,0,0,0,0,0,0
